Speaker,Text,Tag
SPEAKER_00,"Okay, so it was a guy fixing, I think, the chain.",STATEMENT
SPEAKER_01,I agree.,AGREEMENT/ACCEPT
SPEAKER_00,"I would assume because he was kind of, like, running, like, kitchen roll under and checking, like, the grease and the oil and stuff on it and cycling the wheel around and...",STATEMENT
SPEAKER_00,I actually think that he was filming a tutorial or something like that because he was gesticulating and pointing things towards the camera.,STATEMENT
SPEAKER_00,"This is the first time where I thought, okay, I think he's actually filming a tutorial or a video about bike chains.",STATEMENT
SPEAKER_00,Just the way that he was waving his hands and talking.,STATEMENT
SPEAKER_01,I don't think that's the case.,REJECT
SPEAKER_01,I think he was explaining to the other guy in the room what he was doing.,OPINION
SPEAKER_00,I think he pointed something to the camera and it was the camera on the far side of the guy because the guy was looking from my perspective the guy was looking that way to the guy who was fixing it and he looked at the camera there which was closer to what he was doing right so I do think he was possibly filming a video on what he was doing,OPINION
SPEAKER_01,Hm right... the bike it's a mountain bike it's a black one it's 12 speed and it's it's a girl's bike not a men's bike alright,STATEMENT
SPEAKER_01,"and it was black, and it's a Mountain Fury.",STATEMENT
SPEAKER_01,"Anyway, it's on that stand, you know, one of these proper stands that you use.",STATEMENT
SPEAKER_01,"But yeah, he was basically... I thought at first he was adjusting the chain, but... Well, he might have been, but I didn't see that.",STATEMENT
SPEAKER_00,Yeah,YES ANSWERS
SPEAKER_01,"It happened quite quickly, but very quickly he moved on to oiling the chain",STATEMENT
SPEAKER_00,Yeah,BACKCHANNEL/ACKNOWLEDGE
SPEAKER_01,which is pretty standard stuff ,STATEMENT
SPEAKER_00,Yeah,BACKCHANNEL/ACKNOWLEDGE
SPEAKER_01,and you're right he he was running the oil as he turned the chain so that you get the oil right the way around and then he had a cloth and was running it to effectively dry off the excess oil the white cloth um,STATEMENT
SPEAKER_00,Uhuh,BACKCHANNEL/ACKNOWLEDGE
SPEAKER_01,I think he... I thought he was explaining to the other person what he was doing rather than making a video.,STATEMENT
SPEAKER_00,Okay.,RESPONSE ACKNOWLEDGMENT
SPEAKER_01,"Interesting house, though, because...",STATEMENT
SPEAKER_00,"Yes, It was weird.",STATEMENT
SPEAKER_01,It's not a professional bike shop.,STATEMENT
SPEAKER_00,No.,NO ANSWERS
SPEAKER_01,"Because, okay, it had what looked like a reasonably professional stand.",STATEMENT
SPEAKER_00,Yeah.,YES ANSWERS
SPEAKER_01,"But there was a table, a little like this, actually, this table here.",STATEMENT
