Speaker,Text,Tag
SPEAKER_00,"Okay, so it's an old guy fixing a bike.",STATEMENT
SPEAKER_01,"I was just first person, so I can't tell you the age.",RESPONSE ACKNOWLEDGMENT
SPEAKER_00,"Oh, you saw it from his eyes?",BACKCHANNEL-QUESTION
SPEAKER_01,"First person could see a wedding ring, left hand, wristwatch left hand, shorts, white ankle socks, and trainers.",STATEMENT
SPEAKER_00,"Well, I'll be honest, I got... The view I had was from his back, so I didn't really see much of what he was doing with his hands.",STATEMENT
SPEAKER_01,"What, so from behind him?",OPEN-QUESTION
SPEAKER_00,Behind him.,STATEMENT
SPEAKER_01,"Oh, so I could see him use the WD-40 and the chain of the bike in an attempt to fix it in some manner, but I couldn't tell from the angle.",STATEMENT
SPEAKER_01,"or the light of the video, whether the chain was rusted or not, or whether it was just stuck.",STATEMENT
SPEAKER_00,"No, I couldn't tell that.",NO ANSWERS
SPEAKER_00,"I mean, he was definitely messing with the chain.",STATEMENT
SPEAKER_00,He was focused on that a lot.,STATEMENT
SPEAKER_00,He had a cloth in his hand.,STATEMENT
SPEAKER_01,"Yes, taking off extra grease or something of sorts to see if it would run.",STATEMENT
SPEAKER_00,Yeah,YES ANSWERS
SPEAKER_01,A couple of times using the right hand to test if the pedal will run properly.,STATEMENT
SPEAKER_01,Sometimes using the chain to get the pedal to move that way as well.,STATEMENT
SPEAKER_01,It's obviously hoisted up on a blue clamp to suspend it in air to make it easier to work on.,STATEMENT
SPEAKER_00,Uhuh,BACKCHANNEL/ACKNOWLEDGE
SPEAKER_01,There was a guy in the background that I could see.,STATEMENT
SPEAKER_00,There was an Asian guy who was in the back.,STATEMENT
SPEAKER_00,He didn't really do anything until they were picking up the bike at the very end.,STATEMENT
SPEAKER_01,"I could see that there was, from my perspective, I could see three tripod cameras.",STATEMENT
SPEAKER_00,"Yeah, usable.",COLLABORATIVE-COMPLETION
SPEAKER_00,"You saw three, there was one behind him.",STATEMENT
SPEAKER_01,I was figuring that that's what you'd be looking for based on this conversation.,STATEMENT
SPEAKER_01,"There was blinds that had slits in them, white.",STATEMENT
SPEAKER_01,The floor was kind of that of a hard warehouse that hadn't had actual flooring.,STATEMENT
SPEAKER_00,"Yeah, it was a bit dirty garage.",STATEMENT
