Speaker,Text,Tag
SPEAKER_00,Professional kitchen.,STATEMENT
SPEAKER_01,Professional kitchen.,REPEAT-PHRASE
SPEAKER_00,"Looked like he was making salad, some sort of salad.",STATEMENT
SPEAKER_01,Salsa-y type salad.,STATEMENT
SPEAKER_00,"Possibly, because it was a dressing.",STATEMENT
SPEAKER_01,Yeah.,YES ANSWERS
SPEAKER_00,"He washed all the vegetables before he prepared them, but he didn't wash his hands before he did it.",STATEMENT
SPEAKER_00,He should have washed them after that.,STATEMENT
SPEAKER_00,"I'm watching thinking I would have washed my hands after doing that, but anyway.",STATEMENT
SPEAKER_00,what else there was three cameras there was obviously the one I was watching and there was two others I could see ,STATEMENT
SPEAKER_01,right so I could only see one camera because I was the man preparing the food ,STATEMENT
SPEAKER_00,okay so you so was it the one in front of you you could see ,BACKCHANNEL-QUESTION
SPEAKER_01,"yes, standing",YES ANSWERS
SPEAKER_00,"so there was another one, okay there was another one at the back of the kitchen right and obviously one where I was because you could I could watch it as well it's quite interesting",STATEMENT
SPEAKER_01,yes,YES ANSWERS
SPEAKER_01,and yellow trainers,STATEMENT
SPEAKER_00,there was a lot of yellow the t-shirt the peeler thing was yellow ,STATEMENT
SPEAKER_01,Yep.,BACKCHANNEL/ACKNOWLEDGE
SPEAKER_00,yep the things up on the roof were yellow there's a lot it's a bit funny because the other one was blue it's interesting right okay so this color is obviously a thing ,STATEMENT
SPEAKER_01,yeah so yeah yellow trainers black and yellow t-shirt yeah yellow utensils lots of tattoos,STATEMENT
SPEAKER_00, yes,YES ANSWERS
SPEAKER_00,did you see his tattoos did you see his glasses ,YES-NO-QUESTION
SPEAKER_01,i was ,ABANDONED/UNINTERPRETABLE
SPEAKER_00,no oh you couldn't so his glasses were his face,STATEMENT
SPEAKER_00,There were strange glasses.,STATEMENT
SPEAKER_00,I don't know if they're for chopping onions and things because it looked like they were almost goggles.,STATEMENT
SPEAKER_01,"Oh, okay.",RESPONSE ACKNOWLEDGMENT
SPEAKER_00,Glasses he had on.,STATEMENT
SPEAKER_00,His chopping was very good.,STATEMENT
SPEAKER_01,Very neat.,BACKCHANNEL/ACKNOWLEDGE
SPEAKER_00,"Yes, it was.",AGREEMENT/ACCEPT
SPEAKER_01,Very professional.,STATEMENT
SPEAKER_00,Yes.,YES ANSWERS
SPEAKER_00,What else?,OPEN-QUESTION
SPEAKER_01,So what was there?,WH-QUESTION
SPEAKER_01,There was a carrot.,STATEMENT
SPEAKER_00,"A leek, I think, was the... Yeah.",STATEMENT
SPEAKER_01,Yeah.,YES ANSWERS
SPEAKER_00,"Pepper, Red onion.",STATEMENT
SPEAKER_01,Red onion and a carrot.,STATEMENT
SPEAKER_00,And a carrot.,REPEAT-PHRASE
SPEAKER_00,"And then some sort of... Yeah, or it could have been like green chillies or something.",COLLABORATIVE COMPLETION
SPEAKER_01,"oh, Like a herb?",BACKCHANNEL-QUESTION
SPEAKER_00,To put on the top because it was much smaller than...,STATEMENT
SPEAKER_01,"Yes, it looked like a herb.",YES ANSWERS
SPEAKER_00,"You could obviously see it better than I could do, so it was maybe not then.",STATEMENT
SPEAKER_00,"if it was a herb, but it was probably coriander.",STATEMENT
SPEAKER_01,"Yeah, I think it was a herb.",OPINION
SPEAKER_00,"Right, okay.",BACKCHANNEL/ACKNOWLEDGE
SPEAKER_00,To put on the top.,STATEMENT
SPEAKER_00,And then another man came in.,STATEMENT
