Speaker,Text,Tag
SPEAKER_01,So you want to go first?,OPEN-QUESTION
SPEAKER_00,yeah it looks like that,YES ANSWERS
SPEAKER_00,people were recording a person presenting or demonstrating how to make a salad that I say a Greek salad because of the ingredients suspiciously leading me to think it might have been a Greek salad although it was obviously tomato,STATEMENT
SPEAKER_00,cucumber and onion and they were chopped well the person was making the salad was was showing what was doing so slicing chopping or preparing the ingredients,STATEMENT
SPEAKER_00,and then throwing them in the bowl.,STATEMENT
SPEAKER_00,"And I'm not clear exactly what the people who were sitting on the side were doing, but I'm suspecting they might have been part of the filming crew as well, because they, yeah, that's what I, in short, I would summarize this scene.",SUMMARIZE/REFORMULATE
SPEAKER_01,Okay.,BACKCHANNEL/ACKNOWLEDGE
SPEAKER_01,I didn't see any people apart from the person cooking.,NEGATIVE NON-NO ANSWERS
SPEAKER_01,"Well, preparing the salad.",STATEMENT
SPEAKER_01,"So he initially was not sure whether to use a small cucumber, whether it was a cucumber or a fresh onion type of thing.",STATEMENT
SPEAKER_01,He went for the cucumber.,STATEMENT
SPEAKER_01,He washed it.,STATEMENT
SPEAKER_01,cut it as slow as possible ,STATEMENT
SPEAKER_00,yes ,YES ANSWERS
SPEAKER_01,i had the neck got some of the cherry tomatoes was them chopped them,STATEMENT
SPEAKER_01,then moved on to the onion ,STATEMENT
SPEAKER_00,yeah,BACKCHANNEL/ACKNOWLEDGE
SPEAKER_01,or yeah i think it was that i forgot the last one ,OTHER
SPEAKER_00,yeah,BACKCHANNEL/ACKNOWLEDGE
SPEAKER_01, yeah and then he added some olive oil probably ,STATEMENT
SPEAKER_00,or balsamic,COLLABORATIVE COMPLETION
SPEAKER_01,or balsamic maybe i don't know ,HEDGE
SPEAKER_00,or both they were two bottles ,OTHER
SPEAKER_01,there were two bottles i think he only used one yeah,STATEMENT
SPEAKER_00,most likely yeah ,AFFIRMATIVE NON-YES ANSWERS
SPEAKER_01,yeah now he makes them all together left the thing like somewhere forward and then in the end i saw another person exiting the room like on his feet did you see that no ,YES-NO-QUESTION
SPEAKER_00,no,NO ANSWERS
